G,Date,Start (ET), , , ,Opponent, , ,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
70,"Sun, Mar 24, 2024",7:00p,,Box Score,@,Minnesota Timberwolves,L,,110,114,36,34,L 2,"18,024",2:19,
71,"Tue, Mar 26, 2024",7:30p,,Box Score,@,Miami Heat,W,,113,92,37,34,W 1,"19,813",2:10,
72,"Wed, Mar 27, 2024",7:00p,,Box Score,@,Orlando Magic,W,,101,93,38,34,W 2,"19,210",2:11,
73,"Fri, Mar 29, 2024",7:00p,,Box Score,@,Charlotte Hornets,W,,115,97,39,34,W 3,"19,487",2:03,
74,"Sun, Mar 31, 2024",7:00p,,Box Score,@,San Antonio Spurs,W,,117,113,40,34,W 4,"18,718",2:10,
75,"Tue, Apr 2, 2024",10:00p,,Box Score,,Dallas Mavericks,W,,104,100,41,34,W 5,"18,064",2:20,
76,"Thu, Apr 4, 2024",8:00p,,Box Score,@,Houston Rockets,W,,133,110,42,34,W 6,"18,055",2:13,
77,"Fri, Apr 5, 2024",8:30p,,Box Score,@,Dallas Mavericks,L,,106,108,42,35,L 1,"20,425",2:21,
78,"Sun, Apr 7, 2024",8:30p,,Box Score,,Utah Jazz,W,,118,110,43,35,W 1,"18,064",2:07,
79,"Tue, Apr 9, 2024",10:00p,,Box Score,@,Los Angeles Lakers,W,,134,120,44,35,W 2,"18,997",2:15,
80,"Thu, Apr 11, 2024",10:00p,,Box Score,@,Portland Trail Blazers,W,,100,92,45,35,W 3,"19,335",2:04,
G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
81,"Fri, Apr 12, 2024",10:00p,,Box Score,,New Orleans Pelicans,L,,109,114,45,36,L 1,"18,064",2:13,
82,"Sun, Apr 14, 2024",3:30p,,Box Score,,Utah Jazz,W,,123,116,46,36,W 1,"18,064",2:04,
83,"Tue, Apr 16, 2024",10:00p,,Box Score,@,Sacramento Kings,L,,94,118,46,37,L 1,"18,304",2:21,Play-In Game
